taxid	protein	species	1	2	3	4	5	6	7	8																									
2026760	hypothetical protein DRP93_06845, partial [Candidatus Marinimicrobia bacterium]	Candidatus Marinimicrobia bacterium	cellular organisms	Bacteria	FCB group	Candidatus Marinimicrobia																													
470	hypothetical protein WH42_15545, partial [Acinetobacter baumannii]	Acinetobacter baumannii	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus/baumannii complex																									
283734	anaphase-promoting protein, partial [Staphylococcus pseudintermedius]	Staphylococcus pseudintermedius	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
1978231	hypothetical protein DMG34_19320, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria																										
1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria																										
1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria																										
1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria																										
2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)																											
2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)																											
1906666	hypothetical protein DRN20_04615 [Thermoplasmata archaeon]	Thermoplasmata archaeon	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	Thermoplasmata	unclassified Thermoplasmata																											
1978231	hypothetical protein DMG92_00780 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2024844	tetratricopeptide repeat protein [Nitrospina sp.]	Nitrospina sp.	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina																									
