qaccver	saccver	bitscore	eval	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p	q
WP_002851328.1	REA74519.1	255	3.56E-76	788	217	226	29	20.796	283734	flagellar protein, partial [Staphylococcus pseudintermedius]	Staphylococcus pseudintermedius	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus									
WP_002851328.1	RLE09728.1	128	1.07E-26	788	920	645	77	14.884	2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE09728.1	103	7.63E-19	788	920	633	77	12.48	2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE09728.1	86.1	2.21E-13	788	920	577	77	15.771	2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE09728.1	80.3	1.57E-11	788	920	560	77	13.393	2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE09728.1	65.7	4.76E-07	788	920	426	77	13.146	2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	WP_085101929.1	126	9.02E-26	788	1064	605	73	15.537	1519643	tetratricopeptide repeat protein [Desulfovibrio gilichinskyi]	Desulfovibrio gilichinskyi	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_034602935.1	126	9.7E-26	788	1088	639	76	14.867	340956	tetratricopeptide repeat protein [Desulfovibrio frigidus]	Desulfovibrio frigidus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	OEU66907.1	121	2.8E-24	788	943	605	73	15.041	1869297	hypothetical protein BA863_05535, partial [Desulfovibrio sp. S3730MH75]	Desulfovibrio sp. S3730MH75	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_084407456.1	119	1.27E-23	788	1128	662	78	14.048	47157	tetratricopeptide repeat protein [Desulfovibrio bastinii]	Desulfovibrio bastinii	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
