qacver	saccver	bitscore	evalue	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p
WP_002854338.1	RKY53265.1	457	2.61E-149	820	504	491	60	36.253	2026760	hypothetical protein DRP93_06845, partial [Candidatus Marinimicrobia bacterium]	Candidatus Marinimicrobia bacterium	cellular organisms	Bacteria	FCB group	Candidatus Marinimicrobia												
WP_002854338.1	KJX71462.1	145	4.07E-37	820	111	111	14	100	470	hypothetical protein WH42_15545, partial [Acinetobacter baumannii]	Acinetobacter baumannii	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus/baumannii complex								
WP_002854338.1	REA89569.1	100	1.26E-21	820	86	82	10	29.268	283734	anaphase-promoting protein, partial [Staphylococcus pseudintermedius]	Staphylococcus pseudintermedius	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus								
WP_002854338.1	WP_045918961.1	97.7	3.62E-17	820	603	424	80	18.16	784;682184	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia								
WP_002854338.1	WP_045918961.1	95	2.9E-16	820	603	404	80	19.802	784;682184	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia								
WP_002854338.1	WP_045918961.1	61.1	1.09E-05	820	603	609	80	15.928	784;682184	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia								
WP_002854338.1	PYU00485.1	97.3	6.07E-17	820	726	728	81	17.17	1978231	hypothetical protein DMG34_19320, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	OGL43210.1	93.1	1.57E-15	820	930	543	79	17.311	1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL43210.1	68	1.06E-07	820	930	648	79	16.975	1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL43210.1	61.9	6.62E-06	820	930	654	79	15.749	1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL43210.1	58.8	6.62E-05	820	930	643	79	18.04	1817876	hypothetical protein A2042_07095 [Candidatus Schekmanbacteria bacterium GWA2_38_11]	Candidatus Schekmanbacteria bacterium GWA2_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL45239.1	91.1	6.1E-15	820	930	543	79	17.127	1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL45239.1	65.3	6.5E-07	820	930	631	79	16.323	1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL45239.1	61.9	8.4E-06	820	930	640	79	17.656	1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL45239.1	60.7	1.66E-05	820	930	658	79	15.957	1817880	hypothetical protein A2149_04190 [Candidatus Schekmanbacteria bacterium RBG_16_38_11]	Candidatus Schekmanbacteria bacterium RBG_16_38_11	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	KKR30557.1	90.4	1.06E-14	820	930	543	79	17.311	1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria									
WP_002854338.1	KKR30557.1	66.5	2.84E-07	820	930	631	79	16.165	1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria									
WP_002854338.1	KKR30557.1	63.4	2.75E-06	820	930	638	79	15.674	1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria									
WP_002854338.1	KKR30557.1	59.2	5.3E-05	820	930	643	79	18.04	1618450	TPR Domain containing protein [Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8]	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Gottesmanbacteria									
WP_002854338.1	RDJ31898.1	90.4	1.41E-14	820	1422	677	81	19.055	2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)										
WP_002854338.1	RDJ31898.1	71.9	6.81E-09	820	1422	687	81	16.885	2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)										
WP_002854338.1	RLF48396.1	86.9	9.62E-14	820	663	467	56	16.702	1906666	hypothetical protein DRN20_04615 [Thermoplasmata archaeon]	Thermoplasmata archaeon	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	Thermoplasmata	unclassified Thermoplasmata										
WP_002854338.1	PYV52502.1	86.5	1.55E-13	820	857	737	88	18.046	1978231	hypothetical protein DMG92_00780 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	TDJ50438.1	86.5	1.76E-13	820	770	701	76	16.12	2024844	tetratricopeptide repeat protein [Nitrospina sp.]	Nitrospina sp.	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina								
WP_002854338.1	RIB06501.1	86.5	2.6E-13	820	1534	675	79	17.185	44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora					
WP_002854338.1	RIB06501.1	65.3	6.66E-07	820	1534	406	79	17.98	44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora					
WP_002854338.1	RIB06501.1	56.1	0.000493	820	1534	586	79	18.259	44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora					
WP_002854338.1	TAE15630.1	84.6	4.83E-13	820	632	379	43	17.678	1151	tetratricopeptide repeat protein [Oscillatoriales cyanobacterium]	Oscillatoriales cyanobacterium	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)							
WP_002854338.1	PIQ95447.1	84.6	5.63E-13	820	758	388	78	18.557	1974049	hypothetical protein COV67_14775 [Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8]	Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	unclassified Nitrospinae											
WP_002854338.1	PIQ95447.1	58.8	6.07E-05	820	758	672	78	16.369	1974049	hypothetical protein COV67_14775 [Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8]	Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	unclassified Nitrospinae											
WP_002854338.1	WP_074919904.1	83.4	7.86E-13	820	497	456	52	21.053	36841	tetratricopeptide repeat protein [Terrisporobacter glycolicus]	Terrisporobacter glycolicus	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter								
WP_002854338.1	GBC90884.1	83	8.62E-13	820	475	417	49	17.986	2035409	TPR repeat-containing protein YrrB [bacterium HR14]	bacterium HR14	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	CUU37875.1	83	9.68E-13	820	475	417	49	17.986	1661583	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium DC]	Armatimonadetes bacterium DC	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes											
WP_002854338.1	CUU37875.1	57.2	0.00013	820	475	232	49	17.672	1661583	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium DC]	Armatimonadetes bacterium DC	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes											
WP_002854338.1	TDJ52676.1	83.8	9.73E-13	820	770	701	76	16.262	2024844	tetratricopeptide repeat protein [Nitrospina sp.]	Nitrospina sp.	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina								
WP_002854338.1	CUU11179.1	83	1.08E-12	820	475	417	49	17.986	1661580;1661582	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium GBS]	Armatimonadetes bacterium GBS	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes											
