taxid	protein	species	1	2	3	4	5	6	7	8																											
283734	flagellar protein, partial [Staphylococcus pseudintermedius]	Staphylococcus pseudintermedius	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus																											
2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_03480 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
1519643	tetratricopeptide repeat protein [Desulfovibrio gilichinskyi]	Desulfovibrio gilichinskyi	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
340956	tetratricopeptide repeat protein [Desulfovibrio frigidus]	Desulfovibrio frigidus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
1869297	hypothetical protein BA863_05535, partial [Desulfovibrio sp. S3730MH75]	Desulfovibrio sp. S3730MH75	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
47157	tetratricopeptide repeat protein [Desulfovibrio bastinii]	Desulfovibrio bastinii	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
1348163	outer membrane protein assembly factor BamD [Desulfocarbo indianensis]	Desulfocarbo indianensis	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfocarbo																											
2302941	tetratricopeptide repeat protein [Marinifilum sp. JC120]	Marinifilum sp. JC120	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinifilaceae	Marinifilum																										
82171	tetratricopeptide repeat protein [Desulfovibrio zosterae]	Desulfovibrio zosterae	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
35801	tetratricopeptide repeat protein [Nitrospina gracilis]	Nitrospina gracilis	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina																											
246191	tetratricopeptide repeat protein [Desulfovibrio ferrireducens]	Desulfovibrio ferrireducens	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
880	tetratricopeptide repeat protein [Desulfovibrio salexigens]	Desulfovibrio salexigens	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
453230	tetratricopeptide repeat protein [Desulfarculus baarsii]	Desulfarculus baarsii	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus																											
1805221	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1805221	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1805221	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1805221	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
